Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
335,16677885,"Kea Kohv","2026-08-10 17:20:40",0.897,5,keakohv
336,16684699,"Kun Zhang","2026-08-09 07:36:41",0.897,5,beicicc
337,16693099,"Liam Price","2026-08-11 14:34:52",0.897,5,liamprice1211
338,16668992,"Ivan Sabev","2026-08-11 18:46:55",0.897,12,ivansabev
339,16670704,john,"2026-08-09 12:43:00",0.897,4,jaejohn
340,16690538,im_justmatthew,"2026-08-10 09:14:09",0.897,6,imjustmatthew
341,16670613,moda,"2026-08-09 10:30:59",0.897,2,kouheinoda
342,16671568,renta.k,"2026-08-09 11:02:45",0.897,20,renta0426
343,16669455,"Erfan Mirhosseini","2026-08-09 12:49:43",0.897,11,erfanmirhosseini
344,16669050,Efthimios,"2026-08-09 16:43:34",0.897,6,efthimiosfousekis
345,16711763,"mon mon121","2026-08-12 14:20:20",0.897,2,monmon121
346,16671087,tachyon777,"2026-08-12 04:26:43",0.897,8,tachyon777
347,16671195,"Alissa King","2026-08-09 05:39:44",0.897,2,alissaking
348,16671772,xsong2020,"2026-08-09 06:27:45",0.897,2,xstargate
349,16690094,Keredu,"2026-08-09 09:06:03",0.897,10,keredu
350,16695350,"Lu Mingming","2026-08-09 11:30:03",0.897,2,mming0430
351,16695603,pinecone,"2026-08-09 12:30:45",0.897,2,kimpinecone
352,16684558,Jimkom,"2026-08-09 19:21:35",0.897,1,jamesmukoma
353,16680487,"NGUYỄN VĂN QUANG TRƯỜNG","2026-08-10 04:48:36",0.897,3,nguynvnquangtrng
354,16686326,"Mursal Gorchuyev","2026-08-12 15:39:05",0.897,5,mursalgorchuyev
355,16675625,"Hiroyasu Okuno","2026-08-12 14:14:31",0.897,5,hiroyasuokuno
356,16697307,"Felix Quek","2026-08-12 09:17:18",0.897,3,felixquek
357,16680392,"Anh-Vu Mai-Nguyen","2026-08-11 02:57:48",0.896,5,mainguyenanhvu
358,16693812,WangXuC,"2026-08-09 05:15:27",0.896,1,wangxuc
359,16693874,"yeh shibang","2026-08-11 08:33:11",0.896,3,yehshibang
360,16669480,"Kumaran K","2026-08-09 10:58:09",0.896,15,kumarandatascientist
361,16694263,Toru59er,"2026-08-09 07:13:37",0.896,1,toru59er
362,16680554,"MANAS NARKAR","2026-08-09 11:50:06",0.896,11,manasnarkar
363,16692015,mgt127,"2026-08-09 07:33:05",0.896,1,mgt127
364,16684143,Noooo!!,"2026-08-09 07:39:18",0.896,2,surasan092
365,16674693,"Stefano Billeter","2026-08-10 16:58:59",0.896,9,stefanobilleter
366,16679457,"Ercan Gurvit","2026-08-12 13:52:53",0.896,11,ercangurvit
367,16682705,Keisuke,"2026-08-12 12:36:59",0.896,7,kesuke
368,16671046,"Tara Labs","2026-08-12 04:12:10",0.896,25,caoyupeng
369,16680360,Heichanc,"2026-08-12 01:09:03",0.895,6,heichanc
370,16670291,KevlarZanderChi,"2026-08-09 00:38:18",0.894,12,kevlarzanderchi
371,16693172,"Ali Baouch","2026-08-09 00:14:56",0.894,1,alibaouch
372,16685447,TylerJermann,"2026-08-10 23:17:24",0.894,11,tylerjermann
373,16671196,unknown,"2026-08-09 01:31:19",0.894,2,abdullahshafi2021
374,16672578,OpPrime,"2026-08-12 13:35:09",0.894,7,farshidamira
375,16701807,"Dimitar Terziev","2026-08-12 10:53:53",0.894,8,dimiturnt
376,16669681,"One person, One agent","2026-08-10 15:43:06",0.894,10,quan0095
377,16693125,"Peng Wang","2026-08-09 07:15:14",0.894,4,pengwang91
378,16678668,"Imran Ahamed","2026-08-09 03:59:10",0.894,7,immu4989
379,16680432,"Said Mohamed Omary","2026-08-10 13:24:35",0.894,7,saidmohamedomary
380,16669073,"Roman Rozen","2026-08-11 21:46:18",0.894,20,romanrozen
381,16670797,"Farhan Abid","2026-08-11 10:43:43",0.894,1,farhanabidtech786
382,16670054,Opalakia,"2026-08-12 13:20:24",0.893,5,alexanderchar
383,16687719,"PRIYANSHU PANDEY","2026-08-10 10:18:19",0.893,5,"harshitb24cs1031,justalazybun"
384,16690477,Dante,"2026-08-08 22:31:27",0.893,2,tawaragiyuhei
385,16688312,"Sadidul Islam","2026-08-11 03:17:44",0.893,3,sadidul012
386,16693062,allisluck,"2026-08-09 06:13:40",0.893,1,jackyzqs
387,16690518,"Aaron Samuel","2026-08-09 18:35:06",0.893,5,aaronmosamuel
388,16678457,Nikita,"2026-08-10 16:09:20",0.893,3,nikitagajbhiye30
389,16669819,MJVinay,"2026-08-08 18:27:17",0.893,13,mallajayanthvinay
390,16692584,Shiva,"2026-08-08 19:09:40",0.893,1,shivasai77
391,16692808,"Musab Ahmed","2026-08-08 21:04:34",0.893,1,musabyagoub
392,16677846,"Ahmad MAQSOOD1233","2026-08-10 15:03:37",0.893,2,ahmadmaqsood3e3e3
393,16682100,"Namra Desai","2026-08-10 17:39:41",0.893,7,namra001
394,16684893,kishizaki-sci,"2026-08-08 10:41:17",0.893,2,superstringdev
395,16675504,Eshwar2111,"2026-08-11 11:05:37",0.892,2,eshwarb2111
396,16676462,"Alessandro Piccin","2026-08-11 18:48:30",0.892,3,alessandropic
397,16687886,yuto083,"2026-08-11 08:09:51",0.892,8,yuto0712
398,16683958,"for alll 100","2026-08-11 04:36:06",0.892,6,foralll100
399,16696281,mikebeth,"2026-08-11 12:17:12",0.892,7,miguelbeta
400,16689079,SunaoCool,"2026-08-08 06:15:13",0.891,2,yoshikinishita
401,16678550,Mahimn,"2026-08-08 21:38:57",0.891,8,mahimn
402,16672795,"FasterYouChase FasterIRun","2026-08-12 14:52:41",0.891,4,icoguser
403,16689438,yemaoye,"2026-08-08 07:05:04",0.891,1,yemaoye
404,16685798,零號軌跡,"2026-08-08 07:22:32",0.891,3,y1amadeus
405,16689537,"Grigoryan Sergey","2026-08-08 07:30:28",0.891,2,hertryggr
406,16689605,Samsay24,"2026-08-08 07:47:41",0.891,1,samsay23
407,16674437,Nf4d1l,"2026-08-10 06:42:52",0.891,3,nf4d1l
408,16684775,yaphanqiii,"2026-08-11 14:07:24",0.891,3,yaphanqiii
409,16690023,"Olaf Yunus Laitinen Imanov","2026-08-08 09:24:56",0.891,2,olaflundstrom
410,16689241,khj1222,"2026-08-08 09:22:11",0.891,1,khj1222
411,16676701,"Hari Raman Pokhrel","2026-08-10 00:44:13",0.891,7,hariramanpokhrel
412,16684626,lingyu07,"2026-08-12 08:35:50",0.891,4,lingyu07
413,16690337,Niclo,"2026-08-08 10:08:21",0.891,2,midcarryhz
414,16680620,"Shivam Sharma","2026-08-11 02:02:20",0.891,12,jxm222
415,16690592,"Vishal Maurya","2026-08-08 11:08:38",0.891,2,vishalmaurya0906
416,16690502,Antonoof,"2026-08-08 13:29:07",0.891,2,antonoof
417,16687970,Zhanpeng.W,"2026-08-09 13:25:29",0.891,6,zhanpengw
418,16678579,Casualty,"2026-08-12 15:19:36",0.891,23,"acerolaorionblade,chichunleung,hezeming"
419,16688990,"Kyle Goosen","2026-08-09 08:13:10",0.891,4,kylegoosen
420,16674764,"Bharath Varma","2026-08-12 13:18:40",0.891,6,bharath111l
421,16668994,sukirman,"2026-08-08 14:29:44",0.891,3,rakbidb
422,16684258,"Ade Fiqri","2026-08-08 15:54:40",0.891,3,adefiqri12
423,16669245,"Charismatic Pizza Party🍕","2026-08-08 14:54:24",0.891,10,debugendless
424,16678340,"Muhammad Haroon","2026-08-08 15:27:11",0.891,1,har00n
425,16691767,"Mike MacLean","2026-08-08 16:19:03",0.891,1,mikemaclean
426,16678328,"navazsh fathi","2026-08-08 18:32:30",0.891,8,navazshfathi
427,16692445,"Fedor Bogomolov","2026-08-08 18:46:35",0.891,1,fedorbogomolov
428,16692473,"Kavya Bhand","2026-08-09 05:12:17",0.891,2,kavyabhand
429,16692297,"Chiagoziem Nneke","2026-08-08 21:00:56",0.891,1,chiagoziemnneke
430,16670832,Less,"2026-08-08 22:12:43",0.891,1,jiaoyouzhang
431,16693100,"Eyad El Hawary 🇵🇸","2026-08-08 23:29:15",0.891,1,eyadelhawary02
432,16691727,Leonard,"2026-08-09 06:20:39",0.891,2,hunan431102
433,16677391,"Raahim Nawaz","2026-08-09 06:33:06",0.891,1,raahimnawaz
434,16685851,Furina,"2026-08-10 14:21:21",0.891,2,cjlcjlcjl
435,16691824,pp1985,"2026-08-09 07:53:49",0.891,1,ppilania1985
436,16685594,AbhilashVJ,"2026-08-09 08:16:57",0.891,1,abh001
437,16685932,"Agnel Vishal","2026-08-09 08:46:27",0.891,7,agnelvishal
438,16694823,mango,"2026-08-09 14:02:41",0.891,2,mango789
439,16676943,Erdousky,"2026-08-11 18:28:48",0.891,6,erdousky
440,16695083,"Raiyana Rufaida","2026-08-09 11:28:36",0.891,1,shes1r
441,16687653,AdamJonesJohnson,"2026-08-09 13:17:16",0.891,1,adamjonesjohnson
442,16687927,"Sagnik Bhadury","2026-08-09 13:46:33",0.891,4,sagnikb
443,16680711,"William Wakefield","2026-08-09 15:45:14",0.891,1,williamcwakefield
444,16672501,"Pranav Magadi","2026-08-09 17:54:35",0.891,4,pranavmagadi
445,16676951,"Aiman Al-Shalfi","2026-08-10 10:19:30",0.891,7,aimanalshalfi
446,16697897,"Yin Li","2026-08-11 13:53:27",0.891,6,kevin250304
447,16681958,"Hikmet Calayır","2026-08-11 05:40:38",0.891,7,hikmetcalayr
448,16694001,"Daniel Petro","2026-08-12 07:54:58",0.891,7,dan512
449,16680857,SuleimanQ,"2026-08-12 05:59:04",0.891,14,suleimanq
450,16693603,"Bernard Boatey","2026-08-10 11:37:29",0.891,3,bernardboatey
451,16668913,"Joseph Adamski","2026-08-11 11:52:05",0.891,11,josephadamski91
452,16679816,"Valentina Catalano","2026-08-11 04:44:00",0.891,2,valecc
453,16702038,M4tyuuu,"2026-08-10 23:43:47",0.891,2,m4tyuuu
454,16703328,Dusty,"2026-08-11 00:36:59",0.891,1,pratheekmajji
455,16705191,hubert,"2026-08-11 02:37:05",0.891,1,kaideijidezxb
456,16696405,"Atilla Y","2026-08-11 12:48:23",0.891,1,atillay
457,16679101,"Fae Gaze","2026-08-11 16:07:49",0.891,3,achievement
458,16707967,yotsutose,"2026-08-11 16:30:18",0.891,1,yotsutose
459,16707652,mediumGuy,"2026-08-12 05:29:44",0.891,1,mediumguy
460,16679151,"UGUR OZER","2026-08-12 13:26:13",0.891,1,aeonairisk
461,16712612,yoshi1331,"2026-08-12 13:59:32",0.891,1,yoshi1331
462,16707642," I AM A LEARNER","2026-08-12 14:17:18",0.891,1,ribblez
463,16701349,"Aditi ","2026-08-12 15:15:29",0.891,1,vats837aditi
464,16681135,"RanjithKumar Ragavan","2026-08-12 15:17:33",0.891,8,ranjithragavan07
465,16688888,atkaggler,"2026-08-11 11:44:29",0.891,2,atkaggler
466,16678587,"Shahzeb Khoso","2026-08-09 01:00:45",0.891,1,shahzebkhoso
467,16668976,Vineet_Kumar,"2026-08-09 05:29:21",0.891,2,vineetk20
468,16693235,roro128,"2026-08-09 09:25:07",0.891,5,roro128
469,16679023,"Mangal Chakraborty","2026-08-10 18:12:32",0.891,7,mangalchakraborty
470,16697838,"Notebook Noobie","2026-08-10 09:51:58",0.891,5,notebooknoobie
471,16681999,CANOE,"2026-08-10 04:35:12",0.891,4,acanoe
472,16691948,"Nicolai Karcher","2026-08-12 11:03:58",0.891,10,pejophylo
473,16698687,Amr,"2026-08-12 13:12:04",0.890,5,elshahed
474,16684958,"Anhad Mahajan","2026-08-12 09:07:35",0.890,16,anhadmahajan06
475,16674465,ththjyj,"2026-08-09 18:08:27",0.890,6,ththjyj
476,16671449,KV7,"2026-08-12 03:21:13",0.890,5,kaveh7777
477,16677839,"James Mullen","2026-08-12 16:23:05",0.890,1,jimmullen
478,16688200,LED,"2026-08-11 12:45:37",0.889,3,"erikcahyadi,longhuy17,mhpham"
479,16694307,Zinger,"2026-08-10 02:17:33",0.888,2,bechirelloumi
480,16680837,imainjob,"2026-08-12 13:27:50",0.888,9,imainjob
481,16678904,"Sergey Subbotin","2026-08-11 19:04:24",0.888,3,ssubbotin
482,16673011,DONGGEUN,"2026-08-12 11:25:24",0.887,2,donggeun
483,16680012,Doublej37,"2026-08-09 13:40:36",0.887,1,doublej37
484,16675795,karnezz,"2026-08-11 01:33:18",0.887,1,danischaparov
485,16706431,奇诺·凡·海尔辛,"2026-08-11 08:18:42",0.887,2,tmdbyf
486,16706198,"Ujjwal Aggarwal","2026-08-11 09:43:19",0.887,1,ujjwalaggarwal402
487,16682951,"Manoj L9865988","2026-08-11 10:30:09",0.887,2,manojl9865988
488,16708893,"Yessine Zghal","2026-08-11 18:27:33",0.887,1,yessinezghal
489,16696071,khursani,"2026-08-12 08:45:58",0.886,16,khursani8
490,16670805,"Paul Bryan Elefante","2026-08-10 03:04:52",0.886,10,heuljax
491,16682295,"Bhaskar Barot","2026-08-11 12:01:09",0.886,8,bhaskarbarot
492,16676481,chill,"2026-08-11 02:18:50",0.886,3,k256net
493,16687084,giacomovin,"2026-08-10 21:30:55",0.886,1,giacomovin
494,16676623,holyholy,"2026-08-11 12:16:20",0.885,1,holy5contents
495,16675208,ask812,"2026-08-08 18:46:48",0.885,7,ask812
496,16678893,"Alejandro Izaguirre","2026-08-12 02:12:30",0.885,7,alejandroizag
497,16671159,zx2,"2026-08-12 07:53:24",0.885,8,www051586401319
498,16696553,Morpheus0303003,"2026-08-12 07:09:22",0.885,5,morpheus0303003
499,16688272,Nasser,"2026-08-09 20:08:11",0.884,1,nchams3
500,16705322,AbeLincoln1865,"2026-08-12 04:46:01",0.884,2,abelincoln1865
501,16676783,"Khoi Dang","2026-08-09 01:22:28",0.884,4,ngockhoidang
502,16678651,rohan024245,"2026-08-10 23:48:29",0.883,3,rohan024245
503,16673831,"Gabriele Santoro","2026-08-11 06:54:58",0.882,4,gabrielesantoro
504,16681579,"DEHAI WANG","2026-08-10 07:57:01",0.882,10,dehaiwang
505,16671808,"Vaibhav Gupta","2026-08-09 22:21:16",0.882,17,vaihero
506,16689426,"Cihat Emre Çeliker","2026-08-11 21:25:20",0.882,2,celiker
507,16671662,"Hira Norm","2026-08-10 23:54:27",0.882,10,hiranorm
508,16692846,"Lev Neganov","2026-08-11 10:22:40",0.881,5,levoel
509,16669418,Ali,"2026-08-11 21:57:18",0.881,1,asalhi
510,16687336,"Awnikant Ajay","2026-08-09 00:41:13",0.880,11,awnikantajay
511,16679344,"Andrei Dorobantu","2026-08-09 00:02:11",0.879,3,andreidorobantu
512,16668924,Bull,"2026-08-08 08:32:42",0.878,1,welshonionman
513,16685402,infamemconculcemus,"2026-08-12 07:40:41",0.878,15,jcgweb
514,16692891,"Shashwat Bajpai","2026-08-12 00:02:48",0.878,17,shashwat1729
515,16678903,"Kerem Celik","2026-08-08 13:52:46",0.877,3,keremelik
516,16677658,QSynPrim,"2026-08-11 06:10:29",0.877,8,"ksmashhero,mohammedrehaans"
517,16705254,Cha-mic,"2026-08-11 11:24:02",0.877,3,michihisaohara
518,16679667,MeeMee,"2026-08-12 05:57:30",0.877,5,yagi46
519,16694867,"Killian Monnin","2026-08-12 09:49:55",0.877,5,killianmonnin
520,16692043,"Maciej Brzeski","2026-08-12 14:29:09",0.877,5,maciejbrzeski
521,16692308,"Rob Boyd","2026-08-12 02:45:05",0.876,2,robboyd
522,16691390,"Abdallah Higran","2026-08-09 23:56:17",0.876,4,abdallahhigran
523,16680914,JYA,"2026-08-10 19:18:18",0.876,8,yaojixing
524,16671967,"MD. Nazmus Sakib Anik","2026-08-12 14:07:27",0.875,10,"beyondlogic,mdmahtabalirafin,turag10"
525,16680273,nori8774,"2026-08-12 15:02:04",0.875,1,norimasayamamoto
526,16697965,"Angel Estrada Quality","2026-08-11 01:10:13",0.875,8,angelestradaquality
527,16669336,fc,"2026-08-12 11:21:49",0.875,17,ngenechen
528,16703880,"Alberto Mocchi","2026-08-11 22:46:53",0.874,1,albertomocchi99
529,16668808,koooeo,"2026-08-10 16:42:56",0.873,2,koooeo
530,16668807,"Nur Srijan","2026-08-09 19:09:32",0.872,13,nursrijan
531,16671686,"Myo Min Htet(wnp)🇲🇲","2026-08-09 08:04:32",0.871,8,myominhtet
532,16699361,"Aakash Kavuru","2026-08-12 12:54:21",0.871,3,aakashkavuru
533,16687791,"Yunusa Hussein Adeiza","2026-08-09 08:29:16",0.871,3,yunusahusseinadeiza
534,16680028,"Fajri Yanuar Shiddiq Juanda","2026-08-11 16:15:59",0.871,5,fajriyanuar
535,16684256,Nikunj1375,"2026-08-10 04:59:51",0.871,1,nikunj1375
536,16690945,roberttwill,"2026-08-09 03:06:52",0.871,2,roberttwill
537,16669234,kreininmv,"2026-08-12 14:07:16",0.870,7,kreininmv
538,16672111,doncli,"2026-08-10 05:36:01",0.869,5,doncli
539,16674810,"Yusuke Hayashi","2026-08-12 11:51:44",0.869,13,yhay81
540,16680131,fishface,"2026-08-12 01:40:48",0.869,6,fishface
541,16679395,tomplumber,"2026-08-10 21:17:57",0.868,7,maxmender
542,16668841,"Ahmed A.","2026-08-11 14:59:20",0.868,5,archie40004
543,16683526,tz,"2026-08-10 18:32:36",0.868,11,elysii
544,16671727,Wonderwall,"2026-08-11 10:34:20",0.867,3,yuxiang328
545,16687635,"Django de Vreng","2026-08-10 09:16:42",0.867,3,djangodevreng
546,16678723,"Sadam Torres","2026-08-12 02:04:59",0.866,3,sadamtorres
547,16671508,"Vu Tran Hoang","2026-08-12 08:42:57",0.866,1,hoangvux
548,16675250,"Indian Statistical Institute","2026-08-12 09:15:31",0.866,5,"aklanta,amartyaamritanshu,rajneeshyadavisi"
549,16712305,"Ismail Harfi","2026-08-12 14:14:19",0.865,1,ismail89
550,16691816,"Dongyong Lee","2026-08-11 22:06:24",0.865,6,shemissmebutidont
551,16695381,Aiden-Kwak,"2026-08-12 00:03:31",0.862,3,aidenkwak
552,16698261,"Saugi Alkaf","2026-08-11 07:17:58",0.862,4,syaugialkaf
553,16686764,tsuyu122,"2026-08-12 16:49:02",0.862,9,tsuyu122
554,16687402,kimh,"2026-08-12 16:20:07",0.861,1,myeonghyun
555,16671152,"Tianyu Wang","2026-08-09 14:02:42",0.861,4,kevinwang0305
556,16690341,diet1236364,"2026-08-11 09:16:41",0.860,2,kosuke123
557,16697740,"Pralay Ghosh","2026-08-12 00:22:42",0.860,6,pralayghosh83
558,16669068,"The light that shines","2026-08-09 07:22:24",0.860,8,nkosindwandwe
559,16699829,brokenBone,"2026-08-12 11:48:53",0.860,5,victorokpe
560,16706187,"Stephen Gardner","2026-08-11 19:49:23",0.860,1,flight0234
561,16677260,"Jerome Tam","2026-08-12 06:11:53",0.859,4,jerometam
562,16693815,三天,"2026-08-12 01:48:47",0.859,1,gggggggxy
563,16696756,cameronezrajones579,"2026-08-11 01:36:33",0.859,2,cameronezrajones579
564,16674445,stevenleehans,"2026-08-09 12:02:04",0.859,12,stevenleehans
565,16669805,Bjørn-Jostein,"2026-08-12 11:09:23",0.857,3,bjoernjostein
566,16680490,"Watcharin Buason","2026-08-10 14:36:40",0.857,6,chawwatcharin
567,16695080,"Alejandro Soto Franco","2026-08-10 18:04:35",0.856,1,alejandrosotofranco
568,16671031,"Rayan Babur","2026-08-08 02:01:44",0.856,2,rayanbabur
569,16678366,"Christian Jenei","2026-08-10 19:33:27",0.856,7,christianjenei
570,16670950,Juyong,"2026-08-12 14:19:11",0.855,17,kimdoong
571,16686028,Xander,"2026-08-12 12:31:57",0.855,5,canqiang
572,16670602,"Takuya Mizutani","2026-08-12 10:22:40",0.855,5,takuyamizutani
573,16669169,kigasudayooo,"2026-08-11 15:20:29",0.854,4,argon1215
574,16680091,"Billy Peiritsch","2026-08-11 16:43:10",0.854,13,billypeiritsch
575,16679591,mohit,"2026-08-09 04:29:23",0.853,1,mohitvarred
576,16669416,Abdulsamad,"2026-08-10 03:01:08",0.853,20,abdulsamadjod1234
577,16669614,DhawalModi,"2026-08-12 06:28:11",0.853,4,daveconnor
578,16690340,dvv_ram,"2026-08-10 01:34:48",0.852,7,ddvram
579,16679949,morningduck,"2026-08-12 12:32:16",0.852,16,morningduck
580,16670002,"Fayner Costa","2026-08-11 14:15:19",0.851,2,faynercosta
581,16702491,ss,"2026-08-11 07:35:54",0.851,2,forest2026
582,16698215,"Ali Hasnain","2026-08-11 05:12:47",0.850,7,alihasnain34
583,16680495,"Mike Mordetsky","2026-08-12 08:26:36",0.850,16,mikemordetsky
584,16675444,"Ihor Olkhovatyi","2026-08-10 07:42:28",0.850,2,tylerdurden73
585,16682350,"Murat Yıldırım","2026-08-09 17:56:26",0.850,2,muratyldrm
586,16690377,X-xuhui,"2026-08-10 05:36:22",0.849,1,xxuhui
587,16687320,"kirubel nigusu","2026-08-08 06:32:33",0.848,2,kirubelnigusu
588,16687918,datageek,"2026-08-12 09:25:42",0.848,4,abdelmajiderramaline
589,16695450,HIQaH22,"2026-08-12 08:23:03",0.848,4,hiqah22
590,16671113,shu01,"2026-08-08 03:03:31",0.848,1,shu01jp
591,16678751,"Nake Kahlon","2026-08-10 13:11:37",0.848,3,nakekahlon
592,16674675,"Mathis Champagne","2026-08-11 14:00:08",0.847,7,mathischampagne
593,16694302,"Lachlan Cahill","2026-08-12 07:51:38",0.847,1,lachlanmcahill
594,16670009,"Giovanny Rodríguez","2026-08-12 11:04:31",0.847,24,giovannyrodrguez
595,16671634,"PC Jimmmy","2026-08-12 01:59:46",0.847,19,pcjimmmy
596,16692096,dav,"2026-08-12 15:13:04",0.847,4,davidtarrasapuebla
597,16679472,"Niklas L","2026-08-11 15:28:44",0.846,4,niklasdev
598,16686198,"Archit Konde","2026-08-12 15:35:53",0.846,5,architkonde
599,16703582,"John Abish","2026-08-12 00:18:24",0.846,6,johnabish
600,16688953,Hawksartelier,"2026-08-10 02:16:52",0.846,3,satyapb2002
601,16670601,hikahika,"2026-08-11 12:27:40",0.845,13,naganohikaru
602,16680997,DiegoSolarte,"2026-08-11 03:45:47",0.845,5,diegosolarte
603,16668887,mikelou1,"2026-08-07 04:22:27",0.845,8,mikelou1
604,16688459,soul,"2026-08-08 02:40:43",0.844,1,soul80
605,16687576,"Nicholas Dominic","2026-08-10 01:49:40",0.844,2,nicholasdominic
606,16698153,"Amr Salah Salem","2026-08-12 03:47:49",0.844,3,amrsalahsalem
607,16670250,"Simone di costanzo","2026-08-08 10:21:48",0.843,12,simonedicostanzo
608,16684942,"Joseph Rynkiewicz","2026-08-08 04:46:05",0.843,3,josephrynkiewicz
609,16676207,"Tianxi Liang","2026-08-08 18:28:22",0.843,1,sodiumchloride123
610,16678234,"Juan F Rojas","2026-08-10 03:32:34",0.843,8,juanfrojas
611,16680232,"Rohit Chaudhari","2026-08-12 14:16:40",0.842,2,rohitchaudhari25
612,16670013,"Sergio Alvarez","2026-08-10 16:23:59",0.842,2,sersasj
613,16688923,"Gio Kim","2026-08-10 00:32:25",0.842,1,yelloworangebananaa
614,16684304,"mohamed hassan","2026-08-08 17:06:19",0.841,2,mohamed1211
615,16671559,"Arad Hajari","2026-08-07 18:38:16",0.841,9,aradhajari
616,16702880,"Vishnu R Mohan","2026-08-12 09:01:59",0.840,9,vishnurmohan
617,16685449,Nadeem,"2026-08-07 21:15:02",0.840,1,nadeembinshajahan
618,16697787,UddipanB,"2026-08-12 04:43:48",0.840,1,uddipanb
619,16680533,shehai.lrs,"2026-08-08 14:19:20",0.840,1,shehailrs
620,16675876,Ramcer,"2026-08-09 14:38:34",0.839,2,saiduttaabhishekdash
621,16686229,"San Francisco Armory","2026-08-10 15:41:00",0.839,2,"destrxylxnely,diahram,dshhrv"
622,16685662,"PPO POO go","2026-08-08 15:07:22",0.839,5,ppopoogo
623,16669105,Maxim,"2026-08-12 05:59:09",0.839,4,ektarr
624,16682339,guakekuangren,"2026-08-09 01:56:02",0.839,5,guakekuangren
625,16693017,AndrewHaggstrom,"2026-08-11 06:08:25",0.839,2,andrewhaggstrom
626,16669630,"Mawra Musawar","2026-08-08 10:58:38",0.839,7,mawramusawwar
627,16680461,"Phạm Vương","2026-08-11 14:43:49",0.838,6,vuongphamqq
628,16677867,T88,"2026-08-12 02:14:18",0.838,2,t88take
629,16682327,Galaxy1249,"2026-08-09 17:35:51",0.837,2,galaxy1249
630,16680921,"Semih Güllüoğlu","2026-08-08 07:48:06",0.837,2,semihgllolu
631,16689801,ValkBlox,"2026-08-11 15:16:06",0.836,6,valkblox
632,16677886,"Optimal Prime","2026-08-11 18:11:00",0.836,13,caelix
633,16671068,"Mateus Cruz, Msc.","2026-08-08 13:08:06",0.836,5,matteuscruz
634,16691249,邓567,"2026-08-08 15:45:09",0.836,1,deng567
635,16681235,morningstar,"2026-08-09 05:02:35",0.836,3,bryangasper
636,16677896,TriggerMonkey,"2026-08-11 20:18:51",0.836,2,basselabulhajj
637,16678711,"Ravi Banchhiwal","2026-08-09 21:11:14",0.835,3,ravibanchhiwal
638,16675091,"SharpLook Bones","2026-08-11 07:00:22",0.835,1,"charlottemorandi,easoncyy"
639,16687686,"Kerem Tüzün","2026-08-09 19:01:19",0.835,5,keremtzn
640,16671948,"Naresh Meena","2026-08-09 08:51:13",0.834,3,nareshmeena12
641,16685675,"Nguyên Nguyên","2026-08-12 07:19:14",0.833,3,kirito1sasa
642,16683872,"Sergei Martynov","2026-08-08 19:33:06",0.832,1,sergeimartynov
643,16680241,onthehilluu,"2026-08-11 09:42:21",0.832,12,newtohere
644,16672330,mekduy,"2026-08-07 15:59:19",0.832,1,mekduy
645,16686524,"Andrey Gatsuk","2026-08-07 16:43:39",0.832,1,gatsuk
646,16675431,"Vadim Kurochkin","2026-08-07 18:03:20",0.832,1,vadimkurochkin
647,16670486,"Roy Wei","2026-08-07 18:39:50",0.832,1,renyiwei
648,16677735,MDev,"2026-08-09 08:23:22",0.832,3,sarthaksachan
649,16671514,"Oleksii Zhukov","2026-08-07 19:57:19",0.832,2,zhukovoleksiy
650,16688227,"jorge fabian avila","2026-08-08 00:51:21",0.832,1,jorgefabianavila
651,16671565,RichardZhang73,"2026-08-08 03:17:39",0.832,1,richardzhang73
652,16679464,"Gautham Nandakumar","2026-08-12 06:41:46",0.832,1,gauthamcalico
653,16690842,"Shivam Khetan","2026-08-12 03:07:18",0.832,1,shivamkhetan
654,16682132,"Subin Vidhu","2026-08-11 03:58:43",0.832,7,subinvidhu
655,16672628,N0maD,"2026-08-08 10:01:06",0.831,2,thisisn0mad
656,16688177,Karton4ik,"2026-08-09 00:08:25",0.830,1,karton4ik
657,16687540,lyambdadelta,"2026-08-08 19:57:16",0.829,2,lambdaderta
658,16679801,XIAODOUZI,"2026-08-11 06:57:28",0.829,10,xiaodouzi666
659,16675266,RuiKimura4,"2026-08-08 22:36:33",0.827,5,ruikimura4
660,16687682,iluion,"2026-08-12 08:27:32",0.827,3,iluion
661,16678774,"Hasibul Islam Sifat","2026-08-12 07:22:57",0.827,9,aisipu
662,16679296,"bhavya shah","2026-08-08 15:53:02",0.827,6,bhavyashah007
663,16669965,Ammar,"2026-08-08 17:40:45",0.826,2,ammarhameed
664,16686637,"Toprak Ergül","2026-08-09 11:41:55",0.826,5,"demirpoyrazelcin,kiddingundead"
665,16672050,kinjazA,"2026-08-12 12:13:56",0.826,5,kinjaza
666,16692547,"Sangeet Sharma","2026-08-09 06:18:55",0.826,1,sangiits
667,16684255,"Jeslin P james","2026-08-10 02:31:03",0.826,1,jeslinpjames
668,16670995,roy214,"2026-08-11 16:50:09",0.826,4,phamgianguyen
669,16700947,"Saurabh Tiwari","2026-08-10 11:46:48",0.825,1,saurabhtiwari13
670,16698085,"Kevin Krank","2026-08-12 00:02:30",0.825,2,kevinkrank
671,16685309,YUKRUB,"2026-08-08 07:18:07",0.825,1,yukrub
